Skills,worker_location,Price,SuccessRate
"Phone Support,Web Design,Adobe Photoshop Lightroom,Sketching",Armenia,31.68,99.0
"Technical WritingeBook Writing,Poster Design",Philippines,28.84,100.0
"CRM,Illustration,Logo Design,Image EditingImage Processing",Brazil,7.78,95.0
"Meeting Notes,Graphic Design,Branding StrategyLogo Design,Web ScraperWriting,Logo Design,French,Fashion Photography,Translation English French",Germany,3.0,95.0
"Excel,Product Listing,Voice Over,Desktop Publishing,Ecommerce Platform Development,Translation Italian Spanish,Brochure Design,Product Descriptions,Translation English Haitian CreoleTranslation English French",Australia,42.08,100.0
"Voice ActingVoice Talent,Adobe Creative Suite,Graphic Design,Label and Package Design,Sound Editing,Financial Modeling,ItalianVoice Talent,Voice Over,Intuit QuickBooks,Public Health,Translation English Spanish,Windows PowerShell,Ethereum,MySQL Programming,Adobe IllustratorWeb Design,Financial Analysis,AngularJS,Node.js,MongoDB",India,31.21,100.0
"Instagram Stories,Photo Editing",Egypt,121.45,90.0
Venture Capital Consulting,Brazil,56.68,99.0
"Adobe IllustratorAdobe InDesign,Product Design,Audio EditingVideo Upload,eCommerce Website,Architectural Design,Banner Ads",Brazil,60.58,72.0
"JavaScript,Graphic Design,Photography,Logo Design,Motion Design,Adobe InDesign,UX Design,Content Writing",Mexico,3.92,83.0
"Captions,Adobe Audition,Medical Narration,Shopify Templatesnan,Narration,Voice Over English,Conversion Rate Optimization,InfographicsLogo Design,eCommerce Website,VBA,Adobe After Effects,eCommerce,WooCommerce",Switzerland,49.54,100.0
"TypeScript,Compiler,Translation English Portuguese,Audio Editing,Writing,Adobe Photoshop,BookkeepingTranslation,Cold Calling,Logo DesignAdobe Illustrator,Mission Statement",Poland,359.12,100.0
"Blog Content,Microsoft ExcelExcel VBA,Custom Part Design,Microsoft Sharepoint,Microbiology,Presentation DesignBusiness Plan or Pitch,Translation German EnglishMicrosoft Office,Voice Over American Accent,Adobe Photoshop Lightroom,Tableau,Corporate Brand Identity,Adobe InDesign,Adobe Acrobat",Slovenia,67.61,100.0
"Female Voice Over,Voice Over Australian Accent,Academic Writing,Voice Over",India,22.38,97.0
"Infographics,System AdministrationMac OSX Administration,Fashion Photography,LaTeXAcademic Translation,Photo Editing,Adobe Photoshop Lightroom,Photograph Color Correction",United States,35.54,100.0
"Customer Service,Mobile App,Adobe Photoshop,Adobe Illustrator,Vector Graphics,Technical Support,Asana",India,29.74,100.0
"Sales,ManyChat,Adobe Photoshop,Google Web Designer,Video Animation",United States,3.0,100.0
"Web Design,Translation Japanese English,Python",United Kingdom,46.97,100.0
"Presentation,Docker,Instagram Marketing,Adobe Illustrator",Venezuela,3.0,86.0
"Book Editing,Motion Graphics,Photography,explainer videos,TypographyMobile App Design,Microsoft Office,Adobe Illustrator,Voice Acting,Corporate Brand Identity,Layout Design",Ukraine,10.81,97.0
"Shopify,Graphic Design,Logo Design,Events,Video Animation,Adobe InDesign",United States,35.34,100.0
"Translation Portuguese Spanish,Adobe Photoshop,LogoAdobe Photoshop,Proofreading,Experience Design",United States,32.46,100.0
"SolidWorks,Adobe Photoshop,Microsoft Office,Voice Acting,Translation English Arabic",Cameroon,22.36,86.0
"Adobe PageMaker,Adobe Creative Suite,Lead Generation,Voice Over,Translation English Polish,SEO,Logo Design,Voice Acting,Female Voice Over,Voice Recording",Egypt,410.56,97.0
"Translation English German,Voice Over,Interactive Voice Response,Voice Over English,Voice Talent,Adobe PremiereIllustration",Pakistan,131.42,100.0
"Webisode Presentation,Voice Over English,Proofreading,English Proofreading,English,QGIS,Voice Over,Adobe After Effects,Translation,Virtual Assistant,Translation French English,Consulting,Physics,Data Entry,Voice Recording,Audio EditingTranslation Nepali English,Logo Design,Narration,Networking,Translation English Russian,User Experience DesignInteraction Design,Official Documents Translation",Argentina,50.88,100.0
"Graphic Design,Website Localization,Product Design,PDF Conversion,Logo,Adobe Illustrator,Certified to File TaxesBusiness Valuation,Word Processing,PythonData Mining,Social Media,Instagram MarketingPay Per Click Advertising",India,74.74,100.0
"Graphic Design,Microsoft Sharepoint,Translation",Ukraine,22.48,96.0
"Translation,Adobe Illustrator",Russia,3.0,99.0
"Translation English Khmer,Investigative Reporting,Autodesk AutoCAD,Technical Translation,Drafting,iOS DevelopmentAndroid App Development,Marketing,Proofreading",France,62.5,100.0
