Skill,client_location,fixed_price,experience,project_type
"Blog Writing,Content Writing,SEO Writing,Blog Content",United States,12.0,Entry level,One-time project
"Graphic Design,Interior Design,shop design",Germany,2000.0,Intermediate,Complex project
Wix,Switzerland,8000.0,Expert,One-time project
"Research,Data Analytics,Data Collection",United States,8000.0,Intermediate,Ongoing project
"PHP,CSS,HTML,Google Maps API,JavaScript,Python",United States,8000.0,Expert,Complex project
"Music Video,Color Grading,VFX,Video Editing,Adobe Premiere Pro,Audio Editing,Adobe After Effects,Motion Graphics",India,8000.0,Intermediate,Ongoing project
"English to Danish Translation,Danish,Translation,Danish to English Translation,Proofreading,English",Hong Kong,10.0,Intermediate,One-time project
"Android,Phone,Android App Development,Unity",Russia,30.0,Intermediate,One-time project
"Noise Reduction,Audio Editing,Audio Engineering,Sound Editing",Germany,8000.0,Intermediate,Ongoing project
"PostgreSQL,OpenStreetMap,QGIS,GeoJSON,React,OpenLayers,React Native,Map",Australia,2000.0,Intermediate,Ongoing project
"Residential,Drafting,Construction,Autodesk AutoCAD",United States,8000.0,Intermediate,Ongoing project
"process map,standard operating procedure,Microsoft Visio",United States,8000.0,Intermediate,Ongoing project
"Ubuntu,Linux,PostgreSQL,CartoDB,OpenStreetMap",Germany,150.0,Expert,One-time project
"Customer Service,Lead Generation,Marketing Strategy,Email Communication,Sales",Cyprus,400.0,Expert,One-time project
"Graphic Design,YouTube Marketing,Adobe Photoshop",Canada,8000.0,Intermediate,One-time project
"Laravel,jQuery,PHP,FileMaker Pro",Australia,8000.0,Intermediate,Complex project
"Candidate Recommendations,Employee Relations,Recruiting,Training,Procedure Development,Policy,Benefits,Candidate Evaluations,Compensation,Compensation Reports,Job Posts,Payroll Accounting,Terminations,Administrative Support,Operations,Strategy,Business Plan",India,1000.0,Intermediate,Ongoing project
"Medical,Medical Records Software",United States,8000.0,Expert,Ongoing project
"English,Hebrew",Ukraine,8000.0,Entry level,Complex project
Cryptocurrency,United States,8000.0,Intermediate,Ongoing project
"Facebook,Facebook Advertising,Retargeting",Australia,800.0,Expert,Ongoing project
"Content Writing,Chinese,English",China,8000.0,Expert,Ongoing project
ERP Software,India,998.0,Expert,Ongoing project
"Graphic Design,Brochure,Minimal",United States,1500.0,Intermediate,One-time project
"Minecraft,Audio Recording",United States,8000.0,Intermediate,Ongoing project
"Unreal Engine,Architectural Design,Game Design,Graphic Design,Game Design Document,Character Animation,Game Development,Unity",India,8000.0,Intermediate,Complex project
Research,United States,8000.0,Entry level,One-time project
"Laravel,MySQL,PHP",Sri Lanka,5.0,Expert,Ongoing project
"Digital Mapping,Microsoft Power BI,Data Visualization,Visualization,Microsoft Power BI Data Visualization,Data Analysis",Spain,80.0,Intermediate,One-time project
Zapier,United States,8000.0,Intermediate,Ongoing project
"Android,Kotlin,Java,Java,React Native,Android,JavaScript,Kotlin",Russia,17.0,Intermediate,One-time project
White Paper,Norway,8000.0,Intermediate,One-time project
"Firebase,Flutter,Android,Phone,Mobile App Development,Android App Development",India,20.0,Intermediate,One-time project
"Personal Administration,Phone Communication,Scheduling,Virtual Assistant,Email Communication,Administrative Support,Virtual Assistance,Communications,Research",United Kingdom,8000.0,Intermediate,Ongoing project
"Real Estate,Graphic Design,Website,WordPress,Social Media Marketing,Facebook,Social Media Management,Instagram,Social Media Content,Social Media Content Creation,Facebook Advertising,Email Communication,Social Media Imagery,Virtual Assistant,Lead Generation",United States,8000.0,Intermediate,Ongoing project
"Microsoft Outlook,Microsoft Outlook Development,Desktop Applications,.NET Framework,Visual Basic,Windows,VB.NET",India,500.0,Intermediate,Ongoing project
"Human Resource Management,Human Resources,Human Resources Strategy",Canada,8000.0,Intermediate,Ongoing project
"Website Security,WordPress,Web Programming,PHP,HTML,Page Speed Optimization",India,8000.0,Expert,Complex project
"iOS,Android,.NET Core,Georeferencing",Serbia,8000.0,Intermediate,One-time project
"iOS,Map Integration,Location,User Profile Creation,Camera,iOS Development",United States,1500.0,Intermediate,Ongoing project
"Zapier,Automation,Google Sheets,ActiveCampaign,Marketing Automation",United States,8000.0,Intermediate,Ongoing project
"Maps,Graphic Design,Architectural Graphics,Drawing,Digital Art",United States,350.0,Entry level,Ongoing project
"Google My Business,SEO Keyword Research,SEO,Google Maps API,Google Local Business Optimization",Canada,50.0,Expert,Ongoing project
"Customer Support,Communication Etiquette,Email Support,Customer Satisfaction,Multitasking,Interpersonal Skills,Answering Product Questions,Answered Tickets,Following Procedures,Ticketing Systems,KPI Metric Development,Customer Service,Data Entry,Virtual Assistant,Google Docs,Email Communication,Phone Communication",United States,8000.0,Entry level,Ongoing project
"Django,Redux,TypeScript,React,API,JavaScript,Microsoft Azure,Python",United States,4000.0,Intermediate,One-time project
"Freestyle Drawing,Concept Artistry,Illustration,Sketching,Digital Illustration,Character Design,Drawing",United States,8000.0,Intermediate,One-time project
"Illustration,Sketch,Adobe Photoshop,Adobe Illustrator,Adobe InDesign",China,8000.0,Entry level,One-time project
"JSON,webscrapping",Canada,15.0,Intermediate,One-time project
"Journey Mapping,Information Architecture,Software Design,Figma,Product Design,Interactive Design,Web Design,Design Thinking,Product Design,Website,Prototype,UX Research,GIS Mapping,Mobile App Design,Responsive Design,User Flows,Wireframing",United Kingdom,8000.0,Intermediate,Complex project
"CSS,WordPress,PHP,JavaScript,jQuery,HTML,Node.js,React",Cyprus,8000.0,Expert,Ongoing project
"Accounts Receivable,Oracle Database,Oracle Accounting,Microsoft Excel,SAP,Sage,Database Administration,SQL",India,8000.0,Expert,One-time project
"Google Maps API,SEO,Research",Morocco,8000.0,Expert,Complex project
"Email Communication,Communications,Cold Calling,appointment setting",Philippines,8000.0,Expert,Ongoing project
"WordPress,Web Programming,Web Design,PHP,HTML,JavaScript,Graphic Design,MySQL,CSS",United States,100.0,Expert,One-time project
"flutterflow,Mobile App Design,Prototype,Software Design",Norway,3000.0,Intermediate,One-time project
BigCommerce,United States,3900.0,Expert,Ongoing project
"Website Asset,Social Media Imagery,Graphic Design,Illustration",United States,100.0,Entry level,One-time project
"Jira,Atlassian JIRA",United States,8000.0,Expert,One-time project
"Product Development,Usability Testing,User Research,Product Strategy,Spiral Model,Scrum,Agile,Jira,GitLab,Business Process Modeling,Technical Writing,Trello,Business Analysis,Business Modeling,Product Roadmap,Product Management,Requirement Analysis,Use Case Diagram,Web Analytics,Software Design",United States,8000.0,Expert,One-time project
Clerical Procedures,United States,8000.0,Entry level,Ongoing project
"Texturing,Unreal Engine,Gaming",United States,300.0,Intermediate,One-time project
"Article,English,Marketing",United States,60.0,Intermediate,Ongoing project
"Executive Support,File Maintenance,Form Development,Form Completion,Communications,Virtual Assistance,Data Entry,Administrative Support,Personal Administration,Virtual Assistant,File Management",Australia,8000.0,Intermediate,Complex project
"Web Design,Blog Development,Blog Writing,Literary Interpretation of Biblical Narrative,News Writing Style,Graphic Design",United States,8000.0,Intermediate,Ongoing project
"Prototype,Figma,Interaction Design,Wireframing,Mockup",United States,100.0,Intermediate,One-time project
"JavaScript,JSON",United States,8000.0,Intermediate,One-time project
"PHP,Web Design,CSS,HTML",United States,750.0,Entry level,Complex project
"Accounts Payable,Payroll Accounting,Accounts Receivable",United States,8000.0,Intermediate,Ongoing project
"Landing Page,Copywriting",United States,400.0,Expert,Ongoing project
"Website,Software Design,Visual Communication,Responsive Design,Web Programming,Web Design,WordPress,CSS",United States,150.0,Intermediate,Ongoing project
"Compliance,Finance,Corporate Finance",United Kingdom,8000.0,Expert,One-time project
"Adobe After Effects,Adobe Photoshop,Motion Graphics,Graphic Design,Animation,Logo Design",United States,300.0,Expert,One-time project
"Ahrefs,SEO",United States,50.0,Intermediate,One-time project
"Facebook,Social Media Marketing,Instagram",Australia,50.0,Intermediate,One-time project
"Marketing Strategy,Web Design",United States,500.0,Expert,One-time project
"Advertising Design,Graphic Design,Adobe Illustrator",United States,8000.0,Intermediate,Ongoing project
"Android App Development,Android,Navigation,TileProvider",Israel,8000.0,Expert,One-time project
"Education,Adobe Illustrator,Video Editing,Adobe Photoshop,Videography,Photo Editing,Video Production,Final Cut Pro,Photography,Motion Graphics,Video Ads,Video Animation,Video Conversion,Video Color Correction,Video Design,Video Game,Video Game Music,Adobe Premiere Pro,Cartoon Animator",Canada,210.0,Intermediate,Ongoing project
"Content Writing,Creative Writing,Blog Content,Writing",United States,8000.0,Intermediate,Ongoing project
"Finance,Communications",United States,8000.0,Intermediate,Ongoing project
