Skill,client_location,experience,project_type
"Blog Writing,Content Writing,SEO Writing,Blog Content",United States,Entry level,One-time project
"Graphic Design,Interior Design,shop design",Germany,Intermediate,Complex project
Wix,Switzerland,Expert,One-time project
"Research,Data Analytics,Data Collection",United States,Intermediate,Ongoing project
"PHP,CSS,HTML,Google Maps API,JavaScript,Python",United States,Expert,Complex project
"Music Video,Color Grading,VFX,Video Editing,Adobe Premiere Pro,Audio Editing,Adobe After Effects,Motion Graphics",India,Intermediate,Ongoing project
"English to Danish Translation,Danish,Translation,Danish to English Translation,Proofreading,English",Hong Kong,Intermediate,One-time project
"Android,Phone,Android App Development,Unity",Russia,Intermediate,One-time project
"Noise Reduction,Audio Editing,Audio Engineering,Sound Editing",Germany,Intermediate,Ongoing project
"PostgreSQL,OpenStreetMap,QGIS,GeoJSON,React,OpenLayers,React Native,Map",Australia,Intermediate,Ongoing project
"Residential,Drafting,Construction,Autodesk AutoCAD",United States,Intermediate,Ongoing project
"process map,standard operating procedure,Microsoft Visio",United States,Intermediate,Ongoing project
"Ubuntu,Linux,PostgreSQL,CartoDB,OpenStreetMap",Germany,Expert,One-time project
"Customer Service,Lead Generation,Marketing Strategy,Email Communication,Sales",Cyprus,Expert,One-time project
"Graphic Design,YouTube Marketing,Adobe Photoshop",Canada,Intermediate,One-time project
"Laravel,jQuery,PHP,FileMaker Pro",Australia,Intermediate,Complex project
"Candidate Recommendations,Employee Relations,Recruiting,Training,Procedure Development,Policy,Benefits,Candidate Evaluations,Compensation,Compensation Reports,Job Posts,Payroll Accounting,Terminations,Administrative Support,Operations,Strategy,Business Plan",India,Intermediate,Ongoing project
"Medical,Medical Records Software",United States,Expert,Ongoing project
"English,Hebrew",Ukraine,Entry level,Complex project
Cryptocurrency,United States,Intermediate,Ongoing project
"Facebook,Facebook Advertising,Retargeting",Australia,Expert,Ongoing project
"Content Writing,Chinese,English",China,Expert,Ongoing project
ERP Software,India,Expert,Ongoing project
"Graphic Design,Brochure,Minimal",United States,Intermediate,One-time project
"Minecraft,Audio Recording",United States,Intermediate,Ongoing project
"Unreal Engine,Architectural Design,Game Design,Graphic Design,Game Design Document,Character Animation,Game Development,Unity",India,Intermediate,Complex project
Research,United States,Entry level,One-time project
"Laravel,MySQL,PHP",Sri Lanka,Expert,Ongoing project
"Digital Mapping,Microsoft Power BI,Data Visualization,Visualization,Microsoft Power BI Data Visualization,Data Analysis",Spain,Intermediate,One-time project
Zapier,United States,Intermediate,Ongoing project
"Android,Kotlin,Java,Java,React Native,Android,JavaScript,Kotlin",Russia,Intermediate,One-time project
White Paper,Norway,Intermediate,One-time project
"Firebase,Flutter,Android,Phone,Mobile App Development,Android App Development",India,Intermediate,One-time project
"Personal Administration,Phone Communication,Scheduling,Virtual Assistant,Email Communication,Administrative Support,Virtual Assistance,Communications,Research",United Kingdom,Intermediate,Ongoing project
"Real Estate,Graphic Design,Website,WordPress,Social Media Marketing,Facebook,Social Media Management,Instagram,Social Media Content,Social Media Content Creation,Facebook Advertising,Email Communication,Social Media Imagery,Virtual Assistant,Lead Generation",United States,Intermediate,Ongoing project
"Microsoft Outlook,Microsoft Outlook Development,Desktop Applications,.NET Framework,Visual Basic,Windows,VB.NET",India,Intermediate,Ongoing project
"Human Resource Management,Human Resources,Human Resources Strategy",Canada,Intermediate,Ongoing project
"Website Security,WordPress,Web Programming,PHP,HTML,Page Speed Optimization",India,Expert,Complex project
"iOS,Android,.NET Core,Georeferencing",Serbia,Intermediate,One-time project
"iOS,Map Integration,Location,User Profile Creation,Camera,iOS Development",United States,Intermediate,Ongoing project
"Zapier,Automation,Google Sheets,ActiveCampaign,Marketing Automation",United States,Intermediate,Ongoing project
"Maps,Graphic Design,Architectural Graphics,Drawing,Digital Art",United States,Entry level,Ongoing project
"Google My Business,SEO Keyword Research,SEO,Google Maps API,Google Local Business Optimization",Canada,Expert,Ongoing project
"Customer Support,Communication Etiquette,Email Support,Customer Satisfaction,Multitasking,Interpersonal Skills,Answering Product Questions,Answered Tickets,Following Procedures,Ticketing Systems,KPI Metric Development,Customer Service,Data Entry,Virtual Assistant,Google Docs,Email Communication,Phone Communication",United States,Entry level,Ongoing project
"Django,Redux,TypeScript,React,API,JavaScript,Microsoft Azure,Python",United States,Intermediate,One-time project
"Freestyle Drawing,Concept Artistry,Illustration,Sketching,Digital Illustration,Character Design,Drawing",United States,Intermediate,One-time project
"Illustration,Sketch,Adobe Photoshop,Adobe Illustrator,Adobe InDesign",China,Entry level,One-time project
"JSON,webscrapping",Canada,Intermediate,One-time project
"Journey Mapping,Information Architecture,Software Design,Figma,Product Design,Interactive Design,Web Design,Design Thinking,Product Design,Website,Prototype,UX Research,GIS Mapping,Mobile App Design,Responsive Design,User Flows,Wireframing",United Kingdom,Intermediate,Complex project
"CSS,WordPress,PHP,JavaScript,jQuery,HTML,Node.js,React",Cyprus,Expert,Ongoing project
"Accounts Receivable,Oracle Database,Oracle Accounting,Microsoft Excel,SAP,Sage,Database Administration,SQL",India,Expert,One-time project
"Google Maps API,SEO,Research",Morocco,Expert,Complex project
"Email Communication,Communications,Cold Calling,appointment setting",Philippines,Expert,Ongoing project
"WordPress,Web Programming,Web Design,PHP,HTML,JavaScript,Graphic Design,MySQL,CSS",United States,Expert,One-time project
"flutterflow,Mobile App Design,Prototype,Software Design",Norway,Intermediate,One-time project
BigCommerce,United States,Expert,Ongoing project
"Website Asset,Social Media Imagery,Graphic Design,Illustration",United States,Entry level,One-time project
"Jira,Atlassian JIRA",United States,Expert,One-time project
"Product Development,Usability Testing,User Research,Product Strategy,Spiral Model,Scrum,Agile,Jira,GitLab,Business Process Modeling,Technical Writing,Trello,Business Analysis,Business Modeling,Product Roadmap,Product Management,Requirement Analysis,Use Case Diagram,Web Analytics,Software Design",United States,Expert,One-time project
Clerical Procedures,United States,Entry level,Ongoing project
"Texturing,Unreal Engine,Gaming",United States,Intermediate,One-time project
"Article,English,Marketing",United States,Intermediate,Ongoing project
"Executive Support,File Maintenance,Form Development,Form Completion,Communications,Virtual Assistance,Data Entry,Administrative Support,Personal Administration,Virtual Assistant,File Management",Australia,Intermediate,Complex project
"Web Design,Blog Development,Blog Writing,Literary Interpretation of Biblical Narrative,News Writing Style,Graphic Design",United States,Intermediate,Ongoing project
"Prototype,Figma,Interaction Design,Wireframing,Mockup",United States,Intermediate,One-time project
"JavaScript,JSON",United States,Intermediate,One-time project
"PHP,Web Design,CSS,HTML",United States,Entry level,Complex project
"Accounts Payable,Payroll Accounting,Accounts Receivable",United States,Intermediate,Ongoing project
"Landing Page,Copywriting",United States,Expert,Ongoing project
"Website,Software Design,Visual Communication,Responsive Design,Web Programming,Web Design,WordPress,CSS",United States,Intermediate,Ongoing project
