Skills,experience,fixed_price,client_location,project_type
"JavaScript,HTML,Data Scraping,eBook Writing,Video Editing,Executive Support,Database Administration,API",Expert,8000.0,South Africa,One-time project
"Infographics,Graphic Design,Brochure,Google Sheets,Playful,Character Design,nft,LinkedIn",Intermediate,8000.0,Australia,One-time project
Website Content,Intermediate,8000.0,India,One-time project
"Website Content,iOS,React Native,Google Maps API,Mobile App Development,Adobe Photoshop,Adobe Illustrator",Entry level,8000.0,India,Complex project
Graphic Design,Intermediate,1274.0,United States,One-time project
"Web Programming,Graphic Design",Entry level,8000.0,India,One-time project
"CRM,Google Maps API,Social Media Content Creation,instagram marketing",Entry level,8000.0,Turkey,One-time project
"WordPress,English,Graphic Design,Content Writing",Expert,7728.0,Germany,Ongoing project
"Web Programming,Communications,Copywriting,Google Maps API,WordPress,Accounts Receivable,List Building",Entry level,1747.0,United States,Complex project
"SEO Performance,iOS,Architectural Design,Public Relations",Intermediate,8000.0,United States,One-time project
"Mobile App Design,Android",Expert,8000.0,United States,One-time project
"Relationship Management,Graphic Design,Prospect List,Real Estate,API",Intermediate,763.0,United States,One-time project
"JavaScript,Influencer Marketing,Google Maps API,Web Research,HTML",Entry level,8000.0,Puerto Rico,One-time project
"Graphic Design,Sketch,Cartoon Map,Google Maps API,SaaS,Adobe Illustrator,Data Entry",Expert,747.0,Saudi Arabia,One-time project
"Illustration,Government,Blog Development,SEO",Expert,126.0,Germany,Ongoing project
"Google Maps API,Automation,JavaScript,Construction",Expert,6516.0,Germany,Ongoing project
"Web Programming,Business Writing,Sketch,Android App Development,CSS,Adobe Photoshop,Poster,SEO Backlinking,API",Intermediate,7942.0,India,One-time project
"Lead Generation,Business Process Reengineering,Audio Editing,German,Social Media Content Creation,HubSpot",Entry level,569.0,Canada,One-time project
SEO,Expert,8000.0,Pakistan,Ongoing project
"Minimum Viable Product,Concept Design,Product Development,Product Management,Requirements Specification,Lean Development",Expert,1268.0,Ethiopia,One-time project
"Marketing Strategy,SEO Keyword Research,Usability Testing,Watercolor",Expert,169.0,United States,One-time project
"Graphic Design,Mobile App Design",Intermediate,5.0,India,One-time project
"Motion Graphics,Map Integration,Marketing,Content Writing,Android",Entry level,855.0,Poland,Ongoing project
"Data Entry,SEO Keyword Research,Procedure Development,API",Entry level,1219.0,United States,One-time project
"Infographics,Automation,Sketch,Cartoon Map,Manga,Webflow,Build Lookalike Audiences",Expert,777.0,Argentina,One-time project
Manufacturing,Entry level,145.0,Malaysia,One-time project
"SEO,Web Programming,Graphic Design",Intermediate,2130.0,United Kingdom,Complex project
"Microsoft Excel,TypeScript,Literary Interpretation of Biblical Narrative,Database Design,Amazon API Gateway,Python,Java",Expert,341.0,Mexico,One-time project
"Phone,Adobe Illustrator",Entry level,1049.0,Germany,Ongoing project
