worker_location,Skill,Price,SuccessRate
Argentina,"Graphic Design,Logo DesignDesign Patterns,Adobe Photoshop,Adobe Photoshop Lightroom,Photo Editing,Visual Arts,Brochure Design,Retouching,Adobe Illustrator",25,77
Macedonia,"Fashion Photography,PhotographyFilm Production,Film Direction,Commercial Photography,Music Videos,Video Production,Product Photography,Lifestyle Photography,Studio Photography",50,99
Ukraine,"Content Writing,Article WritingArticle Rewriting,Blog Writing,Cryptocurrency,Web Content Development,eBook Writing,Affiliate Marketing,Copywriting,Social Media Content",20,83
United States,"Translation English Arabic,Translation French ArabicTranslation French English,Translation French German,Translation German Arabic,Writing,Proofreading",16,96
Ukraine,"Video Production,Adobe After EffectsAnimation,Illustration,Video Editing,2D Animation,Explainer Video,Motion Graphics,Facebook Advertising,3D Animation",50,99
Nigeria,"Customer Service,ShopifyZendesk,Checking Order Status,Chat Support,Email Handling,Answering Product Questions,Administrative Support,Social Media Management,Virtual Assistant",6,88
Morocco,"Infographics,Graphic DesignBrochure Design,Flyer Design,Print Design,Poster Design,Adobe Illustrator,Adobe InDesign,Adobe Photoshop,Translation English Russian",45,97
Egypt,"Audacity,Voice OverAudio Production,marker,keras,firebird",60,87
Benin,"Adobe Photoshop,Adobe IllustratorAdobe Photoshop Lightroom,Illustration,Archicad,Sketching,Drawing,Logo Design,Business Card,Typography",15,87
United States,"Design Thinking,Product DesignDesign Research,Custom Part Design,Generative Design,Experience Design,Interactive Design,Parametric Design,Industrial Design,Rapid Prototyping",80,95
United States,"Logo Design,Business Card DesignBanner Ad Design,Graphic Design,Adobe Photoshop,Adobe Illustrator,Web Design,WordPress,Corporate Brand Identity,T-Shirt Design",20,94
Ukraine,"Project Management,Data EncodingTechnical Writing,Administrative Support,CVS,Microsoft Office,Resume Writing,Creative Writing,Proofreading,Cover Letter Writing",20,97
Singapore,"Information Design,InfographicsInformation Architecture,Adobe Illustrator,Adobe Photoshop,Adobe InDesign,Presentation,eBook Design",30,82
Ukraine,"Translation Korean English,Translation English Koreannan,keras,firebird",45,99
Philippines,"Virtual Assistant,Data MiningData Entry,Web Research,Microsoft Excel,Lead Generation,Excel VBA,Macros,Web Crawling,Product Listing",6,90
Cyprus,"Logo Design,LogoWeb Design,Responsive Web Design,Icon Design,Business Card Design,Graphic Design,Print Marketing Materials,Adobe Illustrator,Web/graphic Design",45,96
South Korea,"Voice Over,Voice ActingVoice Talent,Voice Over English,Male Voice Over",60,100
Bangladesh,"Logo Design,Adobe After EffectsAdobe Photoshop,Motion Graphics,2D Animation,Adobe Premiere Pro,Adobe Illustrator,Video Editing,Videography,Video Production",33,95
Macedonia,"Microsoft Excel,Translation Arabic EnglishEnglish Proofreading,keras,firebird,marker",10,97
United States,"Photography,RetouchingPhoto Editing,Video Production,Cinematography,Adobe Photoshop,Architecture Photography,Product Photography,Portrait Photography,Commercial Photography",27.78,99
Ukraine,"Comic Art,Digital PaintingIllustrations,Caricature Drawing,Illustration,Cartooning,Sketches",50,100
Egypt,"LexisNexis Accurint,Lead GenerationData Entry,Data Scraping,Data Mining,Data Extraction,Internet Research,Real Estate Management,Virtual Assistant",3,95
Ukraine,"Microsoft Excel,Excel VBAExcel,Analytics,HRIS Implementation,HR Cloud Onboard,Reports",25,84
Portugal,"Adobe Photoshop,Adobe IllustratorGraphic Design,Packaging Design,3D Design,3D Rendering,Illustration,3D Animation,2D Animation,Motion Design",32,99
Pakistan,"Archicad,Autodesk AutoCADArtlantis Studio,Autodesk Revit Architecture,Lumion,Drafting,3D Modeling,Landscape Design,Interior Design",30,81
Philippines,"Magento,ReactLaravel,Magento 2,Amazon Web Services,GraphQL,React Native,Native,Commerce Cloud",50,98
Ukraine,"Windows Media Connect,Microsoft VisioMicrosoft Word,Microsoft Excel,Translation Danish English,Translation Norwegian English,Translation English Norwegian,WordPress,Translation English Swedish,Translation Swedish English",35,94
